userid,age,cmpexperience,cmphours,cmptype,condition,education,foundFastTargetFirst,inthours,latency,positionOfTarget,pubcmp,screen,sex,totalInteractions,search_strategy
4dfdec44-3f6d-11e9-af8e-e4434b0071f4,26_35,intermediate,5_8,desktop,Experiment3_2,HighSchool,TRUE,hourly,1421.008223,East,personal,23_25,Male,40,direct
f22c5ea2-3f6f-11e9-bc23-e4434b0071f4,26_35,intermediate,1_3,desktop,Experiment3_2,Associates,TRUE,weekly,7661.230406,East,personal,13_15,Female,8,direct
9c34fe86-3f70-11e9-980f-e4434b0071f4,36_45,beginner,not reported,desktop,Experiment3_2,Bachelors,TRUE,daily,4250.77077,West,personal,25plus,Male,71,direct
0990a20c-3f74-11e9-958c-e4434b0071f4,18_25,expert,8_above,laptop,Experiment3_2,Bachelors,TRUE,hourly,9828.903614,East,personal,13_15,Male,13,direct
b8cc2f20-3f79-11e9-980f-e4434b0071f4,26_35,intermediate,3_5,desktop,Experiment3_2,Masters,FALSE,daily,7661.230406,East,personal,23_25,Female,13,direct
f487745a-3f7b-11e9-8073-e4434b0071f4,18_25,intermediate,8_above,desktop,Experiment3_2,HighSchool,TRUE,daily,10056.08685,West,public,17_21,Male,148,opportunistic_random
3dab31d4-3f7d-11e9-8073-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,Associates,FALSE,hourly,1915.986597,East,personal,25plus,Male,9,direct
d3e7c86a-3f91-11e9-8ebb-e4434b0071f4,26_35,expert,8_above,desktop,Experiment3_2,HighSchool,FALSE,hourly,5788.208581,East,personal,23_25,Male,15,direct
4f64d776-3f92-11e9-bc23-e4434b0071f4,36_45,beginner,1_3,desktop,Experiment3_2,Bachelors,FALSE,daily,9351.668886,West,personal,23_25,Male,44,direct
5096462a-3f92-11e9-958c-e4434b0071f4,26_35,intermediate,5_8,desktop,Experiment3_2,Associates,FALSE,hourly,3456.603687,East,personal,23_25,Female,9,direct
4b507df2-3f92-11e9-8ebb-e4434b0071f4,26_35,intermediate,5_8,laptop,Experiment3_2,Bachelors,TRUE,hourly,9351.668886,East,personal,13_15,Male,28,opportunistic_random
cf19bbe4-3f92-11e9-8ebb-e4434b0071f4,36_45,beginner,1_3,laptop,Experiment3_2,Bachelors,FALSE,daily,2919.272966,West,personal,13_15,Male,62,opportunistic_random
5ed9513c-3f92-11e9-8ebb-e4434b0071f4,18_25,expert,3_5,desktop,Experiment3_2,Bachelors,TRUE,daily,4908.180563,West,personal,23_25,Male,302,opportunistic_random
4dbba468-3f92-11e9-958c-e4434b0071f4,46_55,intermediate,8_above,laptop,Experiment3_2,Masters,FALSE,hourly,10738.49945,East,personal,17_21,Female,11,direct
d9076142-3f92-11e9-8073-e4434b0071f4,36_45,expert,5_8,laptop,Experiment3_2,Bachelors,TRUE,hourly,10510.03526,West,personal,23_25,Male,20,opportunistic_random
6f19db38-3f93-11e9-af8e-e4434b0071f4,18_25,intermediate,3_5,desktop,Experiment3_2,Bachelors,TRUE,hourly,3492.173404,West,personal,25plus,Male,19,direct
d3f8b51a-3f93-11e9-980f-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment3_2,Bachelors,TRUE,hourly,5066.64099,West,personal,23_25,Male,10,direct
41074cb2-3f93-11e9-8ebb-e4434b0071f4,46_55,intermediate,5_8,desktop,Experiment3_2,Bachelors,TRUE,hourly,5913.306138,East,personal,17_21,Male,85,direct
d647cec8-3f93-11e9-958c-e4434b0071f4,26_35,intermediate,5_8,desktop,Experiment3_2,Bachelors,FALSE,hourly,1144.606444,East,personal,25plus,Female,180,direct
dde7e2ae-3f97-11e9-abf3-e4434b0071f4,36_45,intermediate,3_5,tablet-ipad,Experiment3_2,Bachelors,TRUE,hourly,13489.77398,West,personal,10_12,Male,14,direct
29fbbd3e-3f9b-11e9-bc23-e4434b0071f4,56plus,intermediate,1_3,desktop,Experiment3_2,Associates,TRUE,daily,3456.603687,East,personal,23_25,Female,191,strategy_switch
cf71b1b6-3f9f-11e9-af8e-e4434b0071f4,46_55,intermediate,8_above,desktop,Experiment3_2,Associates,TRUE,hourly,7555.638772,East,public,25plus,Male,76,structured_search
bd080ebc-3f9f-11e9-abf3-e4434b0071f4,46_55,intermediate,1_3,desktop,Experiment3_2,Bachelors,FALSE,daily,910.0408955,West,personal,23_25,Male,9,direct
a6283c36-3fa3-11e9-8ebb-e4434b0071f4,18_25,novice,3_5,desktop,Experiment3_2,Bachelors,FALSE,daily,2452.220139,West,personal,17_21,Female,630,strategy_switch
693681a0-400e-11e9-8ebb-e4434b0071f4,26_35,expert,5_8,laptop,Experiment3_2,Bachelors,TRUE,hourly,5928.3672,West,personal,13_15,Female,13,direct
749e3718-400e-11e9-abf3-e4434b0071f4,56plus,expert,3_5,laptop,Experiment3_2,Bachelors,TRUE,daily,3287.398578,East,personal,13_15,Male,15,direct
4f4eae42-400f-11e9-8ebb-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,Bachelors,TRUE,hourly,4499.074431,West,personal,17_21,Male,30,direct
3c57249a-400f-11e9-8073-e4434b0071f4,26_35,expert,5_8,laptop,Experiment3_2,Bachelors,FALSE,hourly,6193.548587,East,personal,not reported,Female,45,direct
743fd050-400f-11e9-af8e-e4434b0071f4,26_35,expert,3_5,desktop,Experiment3_2,Associates,FALSE,daily,3725.557599,East,personal,23_25,Male,18,direct
b4f50f08-400e-11e9-8073-e4434b0071f4,26_35,beginner,8_above,laptop,Experiment3_2,Masters,TRUE,hourly,10493.66533,West,personal,10_12,Male,17,opportunistic_random
86e4e368-400e-11e9-8ebb-e4434b0071f4,36_45,beginner,5_8,laptop,Experiment3_2,HighSchool,FALSE,daily,1751.252694,East,personal,13_15,Female,181,structured_search
4162d566-400e-11e9-abf3-e4434b0071f4,26_35,intermediate,3_5,desktop,Experiment3_2,Bachelors,TRUE,daily,5118.36037,East,personal,23_25,Male,10,direct
27189b08-4010-11e9-bc23-e4434b0071f4,26_35,intermediate,5_8,desktop,Experiment3_2,Associates,TRUE,hourly,13644.57519,East,personal,25plus,Male,207,opportunistic_random
d223ffc4-4010-11e9-bc23-e4434b0071f4,36_45,beginner,3_5,not reported,Experiment3_2,HighSchool,FALSE,hourly,13217.26121,East,personal,13_15,Female,26,opportunistic_random
c2520610-4013-11e9-bc23-e4434b0071f4,26_35,beginner,5_8,laptop,Experiment3_2,Masters,TRUE,hourly,4728.796125,West,personal,13_15,Male,78,strategy_switch
5f692450-4015-11e9-a334-e4434b0071f4,26_35,intermediate,1_3,laptop,Experiment3_2,Bachelors,TRUE,daily,13499.83343,East,personal,17_21,Female,19,opportunistic_random
56d77508-4015-11e9-980f-e4434b0071f4,46_55,intermediate,5_8,desktop,Experiment3_2,HighSchool,FALSE,daily,1421.008223,West,personal,25plus,Male,231,strategy_switch
d3986fd2-401c-11e9-8073-e4434b0071f4,46_55,expert,8_above,desktop,Experiment3_2,Masters,TRUE,hourly,10825.95417,West,personal,23_25,Male,90,opportunistic_random
e2901748-4020-11e9-8073-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,HighSchool,TRUE,hourly,5527.99891,East,personal,not_sp,Male,7,direct
361cd844-401f-11e9-abf3-e4434b0071f4,26_35,expert,8_above,laptop,Experiment3_2,Masters,TRUE,daily,13955.56991,East,personal,13_15,Female,128,opportunistic_random
668975fe-4020-11e9-958c-e4434b0071f4,26_35,intermediate,5_8,laptop,Experiment3_2,Bachelors,FALSE,daily,13499.83343,West,personal,17_21,Male,60,opportunistic_random
5756e952-4027-11e9-8ebb-e4434b0071f4,26_35,intermediate,3_5,desktop,Experiment3_2,Bachelors,TRUE,daily,3818.084502,West,personal,23_25,Male,75,direct
479d990c-4027-11e9-958c-e4434b0071f4,36_45,intermediate,3_5,desktop,Experiment3_2,HighSchool,TRUE,hourly,12848.82831,East,personal,17_21,Female,32,opportunistic_random
a3378994-4027-11e9-8ebb-e4434b0071f4,26_35,intermediate,5_8,laptop,Experiment3_2,Bachelors,TRUE,daily,3781.856116,West,personal,17_21,Male,26,direct
fae27bfe-4027-11e9-a334-e4434b0071f4,18_25,intermediate,5_8,laptop,Experiment3_2,Bachelors,TRUE,hourly,10531.87263,West,personal,13_15,Male,27,direct
0cb451d0-4029-11e9-a334-e4434b0071f4,18_25,intermediate,5_8,laptop,Experiment3_2,Bachelors,TRUE,daily,9794.390522,East,personal,13_15,Male,74,direct
4e903378-4027-11e9-bc23-e4434b0071f4,36_45,expert,8_above,desktop,Experiment3_2,Associates,FALSE,hourly,9105.922351,East,personal,17_21,Male,263,structured_search
54cc6c14-4029-11e9-abf3-e4434b0071f4,36_45,intermediate,5_8,laptop,Experiment3_2,Bachelors,FALSE,hourly,4843.01713,East,personal,10_12,Female,79,structured_search
49e05254-402c-11e9-980f-e4434b0071f4,36_45,intermediate,8_above,laptop,Experiment3_2,Associates,TRUE,hourly,8237.686413,West,personal,17_21,Female,13,opportunistic_random
0fe627fe-402c-11e9-8073-e4434b0071f4,18_25,expert,3_5,laptop,Experiment3_2,Bachelors,TRUE,daily,2302.411471,East,personal,13_15,Male,26,opportunistic_random
91c7dd56-402e-11e9-980f-e4434b0071f4,46_55,intermediate,5_8,desktop,Experiment3_2,Bachelors,TRUE,daily,13955.56991,West,personal,25plus,Female,23,opportunistic_random
e7d0a094-402d-11e9-bc23-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment3_2,Bachelors,FALSE,daily,2353.563419,West,personal,13_15,Male,227,strategy_switch
4630375c-402f-11e9-8ebb-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment3_2,Bachelors,TRUE,daily,12066.286,East,personal,13_15,Male,97,strategy_switch
b1406f6e-4032-11e9-abf3-e4434b0071f4,26_35,beginner,8_above,laptop,Experiment3_2,Bachelors,TRUE,daily,9192.072918,West,public,13_15,Male,283,structured_search
f6e432be-4035-11e9-8073-e4434b0071f4,26_35,intermediate,3_5,desktop,Experiment3_2,Bachelors,TRUE,weekly,12419.79612,West,personal,17_21,Female,33,direct
54644720-4037-11e9-958c-e4434b0071f4,26_35,expert,5_8,desktop,Experiment3_2,Bachelors,FALSE,daily,3870.07198,East,personal,17_21,Female,12,direct
a38183bc-4038-11e9-980f-e4434b0071f4,26_35,beginner,5_8,laptop,Experiment3_2,Bachelors,TRUE,daily,7838.327875,West,personal,17_21,Female,732,structured_search
a12bf96a-4044-11e9-84ab-e4434b0071f4,26_35,intermediate,5_8,desktop,Experiment3_2,Bachelors,TRUE,daily,1641.69223,West,personal,17_21,Male,88,strategy_switch
eaabe88e-4044-11e9-bb0f-e4434b0071f4,36_45,expert,5_8,laptop,Experiment3_2,Associates,TRUE,hourly,1377.836923,East,personal,17_21,Male,28,direct
62bd7b12-4045-11e9-af75-e4434b0071f4,18_25,expert,5_8,laptop,Experiment3_2,Bachelors,TRUE,daily,543.1742007,West,personal,13_15,Male,39,direct
82a15ca0-4045-11e9-84ab-e4434b0071f4,26_35,intermediate,5_8,laptop,Experiment3_2,Bachelors,FALSE,daily,543.1742007,East,personal,17_21,Male,89,structured_search
78390f0a-4046-11e9-af75-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,not reported,TRUE,hourly,1556.61826,West,personal,23_25,Male,21,direct
9fd4c024-4049-11e9-94f2-e4434b0071f4,26_35,expert,5_8,desktop,Experiment3_2,HighSchool,TRUE,hourly,1729.677677,West,personal,17_21,Female,16,direct
c888c690-404a-11e9-af75-e4434b0071f4,26_35,expert,5_8,desktop,Experiment3_2,HighSchool,FALSE,hourly,1506.644491,East,personal,17_21,Male,113,strategy_switch
7c4e4f62-404e-11e9-bb0f-e4434b0071f4,26_35,expert,8_above,laptop,Experiment3_2,Associates,TRUE,hourly,2869.110308,West,personal,13_15,Male,31,direct
4751e96c-4054-11e9-9da1-e4434b0071f4,18_25,intermediate,5_8,desktop,Experiment3_2,Bachelors,TRUE,daily,1556.61826,West,not reported,17_21,Female,33,direct
efcf3ae6-40f8-11e9-bff2-e4434b0071f4,36_45,expert,8_above,desktop,Experiment3_2,Bachelors,TRUE,daily,10214.95282,West,personal,17_21,Male,15,direct
f3067c24-40f8-11e9-bff2-e4434b0071f4,18_25,beginner,3_5,laptop,Experiment3_2,Masters,TRUE,hourly,7710.504112,West,personal,13_15,Male,10,direct
01e031a4-40f9-11e9-8ed1-e4434b0071f4,18_25,intermediate,1_3,laptop,Experiment3_2,HighSchool,TRUE,daily,11914.45181,West,personal,13_15,Male,32,direct
fbd49868-40f8-11e9-8ed1-e4434b0071f4,26_35,expert,5_8,laptop,Experiment3_2,Bachelors,TRUE,hourly,12028.04342,East,personal,13_15,Male,76,structured_search
fa63e182-40f8-11e9-8ed1-e4434b0071f4,26_35,expert,5_8,desktop,Experiment3_2,HighSchool,FALSE,hourly,10515.50381,East,personal,23_25,Female,121,strategy_switch
31141382-40f9-11e9-b42d-e4434b0071f4,36_45,intermediate,8_above,laptop,Experiment3_2,Associates,TRUE,hourly,7710.504112,West,personal,13_15,Male,68,strategy_switch
6fa501a6-40f9-11e9-bff2-e4434b0071f4,36_45,intermediate,5_8,laptop,Experiment3_2,Bachelors,TRUE,daily,11532.86415,East,personal,13_15,Male,97,opportunistic_random
d3ee91c2-40f9-11e9-8ed1-e4434b0071f4,18_25,intermediate,8_above,desktop,Experiment3_2,HighSchool,TRUE,hourly,8622.714539,East,personal,25plus,Male,66,structured_search
a48cb0bc-40f9-11e9-b8c3-e4434b0071f4,26_35,expert,5_8,laptop,Experiment3_2,Associates,TRUE,hourly,11035.91458,East,personal,13_15,Male,97,direct
db1c45d4-40f9-11e9-b8c3-e4434b0071f4,46_55,expert,3_5,desktop,Experiment3_2,HighSchool,TRUE,daily,10023.95492,West,personal,17_21,Male,61,structured_search
900a5cfc-40f9-11e9-b8c3-e4434b0071f4,18_25,expert,5_8,desktop,Experiment3_2,Bachelors,FALSE,daily,13498.39622,East,personal,17_21,Female,33,direct
c59d4ab4-40f9-11e9-b42d-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,Associates,TRUE,hourly,9527.534048,East,personal,23_25,Male,19,structured_search
97cc43d2-40fa-11e9-bc0d-e4434b0071f4,36_45,beginner,8_above,laptop,Experiment3_2,HighSchool,TRUE,hourly,7511.510077,West,personal,13_15,Female,8,direct
3d45c3ba-40fb-11e9-b8c3-e4434b0071f4,26_35,expert,1_3,laptop,Experiment3_2,Bachelors,TRUE,hourly,7463.611826,East,personal,13_15,Male,10,direct
3e0c2752-40fc-11e9-b8c3-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment3_2,Associates,TRUE,hourly,11424.26085,East,personal,25plus,Male,71,strategy_switch
e41f8680-40fb-11e9-bc0d-e4434b0071f4,26_35,intermediate,5_8,laptop,Experiment3_2,HighSchool,TRUE,daily,10413.60797,West,personal,17_21,Male,54,direct
a93da086-40fd-11e9-a0eb-e4434b0071f4,36_45,expert,1_3,desktop,Experiment3_2,Bachelors,FALSE,hourly,12189.92379,East,public,17_21,Male,84,structured_search
6f505128-40ff-11e9-bff2-e4434b0071f4,56plus,intermediate,5_8,desktop,Experiment3_2,Associates,TRUE,hourly,13785.49915,West,personal,25plus,Female,130,strategy_switch
29cf5028-4103-11e9-8ed1-e4434b0071f4,46_55,expert,8_above,desktop,Experiment3_2,Bachelors,TRUE,daily,13023.12406,East,personal,25plus,Female,20,direct
c3d4e7d6-4104-11e9-b8c3-e4434b0071f4,46_55,expert,5_8,laptop,Experiment3_2,Associates,TRUE,hourly,13704.83126,West,personal,23_25,Female,9,direct
886aa3d8-4114-11e9-a0eb-e4434b0071f4,26_35,novice,5_8,desktop,Experiment3_2,Bachelors,FALSE,daily,7572.303222,East,personal,25plus,Male,333,structured_search
c8a2b434-419d-11e9-8ed1-e4434b0071f4,18_25,novice,1_3,desktop,Experiment3_2,Bachelors,FALSE,daily,13653.49523,East,personal,17_21,Male,69,opportunistic_random
0dab4630-3c3b-11e9-9a59-e4434b0071f4,26_35,intermediate,,laptop,Experiment4,Masters,TRUE,hourly,894.1987545,SouthEast,personal,10_12,Male,18,direct
289ef2e2-3ab1-11e9-b166-e4434b0071f4,46_55,intermediate,5_to_8,laptop,Experiment4,Bachelors,TRUE,daily,5193.656785,SouthEast,personal,17_21,Female,40,direct
57c882ca-3bbc-11e9-9a82-e4434b0071f4,26_35,intermediate,3_to_5,laptop,Experiment4,Bachelors,TRUE,daily,8029.087297,NorthWest,,13_15,Male,28,direct
6285ecf6-3b9f-11e9-b65f-e4434b0071f4,36_45,expert,5_to_8,laptop,Experiment4,Bachelors,TRUE,hourly,11412.14857,SouthEast,personal,17_21,Female,10,direct
8d5a9b94-3c39-11e9-8559-e4434b0071f4,26_35,intermediate,1_to_3,laptop,Experiment4,Bachelors,TRUE,daily,11148.86774,NorthWest,personal,13_15,Female,23,direct
9e4ca604-3c5c-11e9-ad67-e4434b0071f4,18_25,intermediate,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,12817.00209,NorthWest,personal,13_15,Female,16,direct
a4f8e000-3c3c-11e9-b5ef-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,daily,3898.906335,NorthWest,personal,not_sp,Female,11,direct
b527baf6-3b87-11e9-809d-e4434b0071f4,26_35,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,hourly,6114.561363,NorthWest,personal,17_21,Male,35,direct
ca2bc630-3c64-11e9-9603-e4434b0071f4,46_55,expert,8_above,laptop,Experiment4,Bachelors,FALSE,hourly,3855.35618,SouthEast,personal,17_21,Female,18,direct
02d3d66a-383e-11e9-9269-e4434b0071f4,36_45,intermediate,8_above,laptop,Experiment4,HighSchool,TRUE,hourly,9533.390548,SouthEast,personal,17_21,Male,157,opportunistic_random
