userid,age,cmpexperience,cmphours,cmptype,condition,education,foundFastTargetFirst,inthours,latency,positionOfTarget,pubcmp,screen,sex,totalInteractions,search_strategy
0405f978-3ab4-11e9-ad9c-e4434b0071f4,26_35,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,7316.498019,NorthWest,personal,17_21,Male,140,opportunistic_random
04cc8152-3ab8-11e9-9a2a-e4434b0071f4,18_25,intermediate,5_to_8,desktop,Experiment4,HighSchool,FALSE,daily,2999.220704,SouthEast,personal,25plus,Male,98,opportunistic_random
19e39f1c-36cb-11e9-acb2-e4434b0071f4,26_35,intermediate,3_to_5,laptop,Experiment4,Associates,TRUE,daily,1706.873038,NorthWest,personal,17_21,Female,37,opportunistic_random
22ffcc02-3be3-11e9-8e80-e4434b0071f4,18_25,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,13045.214,NorthWest,personal,13_15,Male,200,opportunistic_random
29ca28da-391c-11e9-b5a5-e4434b0071f4,,intermediate,5_to_8,laptop,Experiment4,HighSchool,TRUE,hourly,2804.211485,SouthEast,personal,13_15,Male,93,opportunistic_random
36fdcf2a-339a-11e9-9ff2-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,hourly,5401.229524,NorthWest,personal,23_25,Male,194,opportunistic_random
3b0fc2b8-3c3b-11e9-8542-e4434b0071f4,36_45,intermediate,5_to_8,desktop,Experiment4,HighSchool,FALSE,hourly,794.0055918,NorthWest,personal,23_25,Male,165,opportunistic_random
45ab9da6-3b86-11e9-8acd-e4434b0071f4,26_35,intermediate,3_to_5,desktop,Experiment4,Masters,FALSE,daily,6115.896879,NorthWest,personal,25plus,Female,53,opportunistic_random
5438a522-36c6-11e9-b18a-e4434b0071f4,18_25,intermediate,5_to_8,desktop,Experiment4,Associates,FALSE,hourly,9023.755321,NorthWest,personal,23_25,Male,268,opportunistic_random
593577c6-3ac2-11e9-9762-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,HighSchool,FALSE,hourly,5509.131817,SouthEast,personal,25plus,Female,209,opportunistic_random
5cce22d4-3c39-11e9-8c92-e4434b0071f4,36_45,intermediate,8_above,laptop,Experiment4,Associates,FALSE,hourly,237.9254686,SouthEast,personal,13_15,Female,73,opportunistic_random
649d9fae-3c6f-11e9-a40f-e4434b0071f4,26_35,intermediate,3_to_5,desktop,Experiment4,Bachelors,FALSE,hourly,4208.28456,NorthWest,personal,17_21,Male,214,opportunistic_random
74c871e0-3c76-11e9-9558-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,TRUE,daily,10477.44468,NorthWest,personal,23_25,Male,104,opportunistic_random
7b4e3c8a-3b8a-11e9-9e61-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,hourly,3696.450858,SouthEast,personal,23_25,Female,173,opportunistic_random
81be325a-3be9-11e9-865c-e4434b0071f4,26_35,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,hourly,12727.20671,SouthEast,personal,23_25,Male,14,opportunistic_random
84c62a3a-3c65-11e9-9973-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,TRUE,daily,3238.382207,SouthEast,personal,17_21,Female,251,opportunistic_random
89dbabcc-3bd3-11e9-8eaf-e4434b0071f4,56plus,intermediate,1_to_3,laptop,Experiment4,HighSchool,TRUE,daily,9787.769755,SouthEast,personal,25plus,Female,93,opportunistic_random
90712326-3c6f-11e9-9c05-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,FALSE,daily,2584.247684,NorthWest,,17_21,Male,432,opportunistic_random
970e0a0e-3abd-11e9-b5f5-e4434b0071f4,,expert,8_above,desktop,Experiment4,HighSchool,TRUE,hourly,5371.91932,NorthWest,personal,23_25,Male,40,opportunistic_random
9abd5d48-3c5d-11e9-9525-e4434b0071f4,18_25,expert,8_above,laptop,Experiment4,HighSchool,FALSE,hourly,2441.400602,NorthWest,personal,13_15,Male,168,opportunistic_random
9dadfd64-3c5d-11e9-929f-e4434b0071f4,26_35,expert,8_above,laptop,Experiment4,HighSchool,TRUE,hourly,2213.183585,NorthWest,personal,17_21,Female,147,opportunistic_random
a18142e4-3ac2-11e9-9176-e4434b0071f4,26_35,intermediate,5_to_8,laptop,Experiment4,HighSchool,FALSE,hourly,10968.08225,SouthEast,personal,13_15,Male,84,opportunistic_random
a2f30ade-3c77-11e9-b7f2-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,TRUE,daily,11660.99805,NorthWest,personal,23_25,Male,60,opportunistic_random
a836b598-3913-11e9-ab21-e4434b0071f4,18_25,intermediate,5_to_8,laptop,Experiment4,Associates,FALSE,daily,10063.85848,NorthWest,personal,17_21,Male,130,opportunistic_random
ad5cce2a-383e-11e9-a082-e4434b0071f4,26_35,expert,8_above,desktop,Experiment4,HighSchool,FALSE,hourly,1159.650286,SouthEast,personal,17_21,Male,202,opportunistic_random
b2421222-36ce-11e9-acb2-e4434b0071f4,18_25,intermediate,8_above,desktop,Experiment4,HighSchool,TRUE,daily,8500.140045,NorthWest,personal,23_25,Male,253,opportunistic_random
b7f9beee-3aad-11e9-8529-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment4,Masters,TRUE,hourly,8685.778104,SouthEast,personal,23_25,Female,158,opportunistic_random
bc850d00-3c5c-11e9-a57e-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,daily,11259.70131,SouthEast,personal,25plus,Male,70,opportunistic_random
bd60fc6e-3ab5-11e9-a2af-e4434b0071f4,26_35,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,hourly,5021.35945,NorthWest,personal,23_25,Female,245,opportunistic_random
c595d6de-3aab-11e9-878a-e4434b0071f4,36_45,expert,5_to_8,laptop,Experiment4,Bachelors,TRUE,hourly,9996.526116,SouthEast,personal,13_15,Female,126,opportunistic_random
de47475a-3c48-11e9-8010-e4434b0071f4,18_25,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,7183.875262,NorthWest,personal,13_15,Male,40,opportunistic_random
f42c4a76-3c65-11e9-bc8f-e4434b0071f4,46_55,expert,8_above,laptop,Experiment4,Bachelors,FALSE,hourly,323.4287055,SouthEast,personal,17_21,Female,99,opportunistic_random
f5b29fb8-3aac-11e9-929c-e4434b0071f4,26_35,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,7585.624129,SouthEast,personal,13_15,Female,105,opportunistic_random
f91cf2f8-3bd7-11e9-ab01-e4434b0071f4,26_35,intermediate,3_to_5,laptop,Experiment4,,TRUE,daily,13755.66737,NorthWest,personal,13_15,Female,47,opportunistic_random
fbfd3008-3c6f-11e9-8cc2-e4434b0071f4,36_45,expert,8_above,desktop,Experiment4,PhD,FALSE,hourly,8815.478834,SouthEast,personal,17_21,Male,61,opportunistic_random
fd3bf3c0-3be1-11e9-9c77-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment4,Associates,TRUE,hourly,13169.85913,NorthWest,personal,13_15,Female,103,opportunistic_random
035edc00-392a-11e9-81f4-e4434b0071f4,18_25,expert,8_above,desktop,Experiment4,HighSchool,TRUE,hourly,2897.035923,NorthWest,personal,23_25,Male,338,strategy_switch
041f6ae6-3c5a-11e9-91ff-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,hourly,10099.59758,NorthWest,personal,17_21,Female,148,strategy_switch
0cf919ae-3841-11e9-9135-e4434b0071f4,36_45,,3_to_5,desktop,Experiment4,Associates,TRUE,hourly,285.7072196,NorthWest,personal,17_21,Male,39,strategy_switch
141ed520-3c5b-11e9-941d-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Masters,TRUE,hourly,6046.732256,SouthEast,personal,17_21,Female,199,strategy_switch
14de372a-3b7b-11e9-9ecb-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment4,Masters,TRUE,hourly,11547.67232,NorthWest,personal,17_21,Female,259,strategy_switch
1d6346f2-3ab7-11e9-a43a-e4434b0071f4,26_35,expert,3_to_5,laptop,Experiment4,Bachelors,TRUE,daily,11896.42532,NorthWest,personal,13_15,Male,100,strategy_switch
219b1304-3c5a-11e9-af51-e4434b0071f4,36_45,intermediate,3_to_5,laptop,Experiment4,HighSchool,FALSE,hourly,7295.707236,NorthWest,personal,10_12,Male,170,strategy_switch
2c05afc4-3bde-11e9-a92b-e4434b0071f4,56plus,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,daily,12437.28785,NorthWest,personal,25plus,Female,789,strategy_switch
347ad5c8-3b82-11e9-8fff-e4434b0071f4,46_55,intermediate,5_to_8,desktop,Experiment4,HighSchool,TRUE,daily,10665.94783,NorthWest,personal,13_15,Male,68,strategy_switch
3516c68a-3b92-11e9-83c1-e4434b0071f4,26_35,beginner,3_to_5,laptop,Experiment4,Bachelors,FALSE,daily,1158.222741,SouthEast,personal,13_15,Male,810,strategy_switch
37769a58-3b7a-11e9-b7f0-e4434b0071f4,46_55,intermediate,5_to_8,desktop,Experiment4,Associates,FALSE,hourly,7120.181469,SouthEast,personal,23_25,Female,117,strategy_switch
397a3482-3bd3-11e9-990f-e4434b0071f4,26_35,expert,8_above,laptop,Experiment4,Bachelors,FALSE,hourly,11687.25112,SouthEast,personal,25plus,Male,96,strategy_switch
39da97b4-3840-11e9-9135-e4434b0071f4,36_45,expert,8_above,desktop,Experiment4,HighSchool,TRUE,hourly,10078.13458,NorthWest,personal,25plus,Male,121,strategy_switch
41744da4-3c59-11e9-8334-e4434b0071f4,36_45,intermediate,3_to_5,desktop,Experiment4,Bachelors,TRUE,daily,9630.395079,SouthEast,personal,23_25,Male,155,strategy_switch
46d815e0-3845-11e9-a863-e4434b0071f4,26_35,expert,8_above,desktop,Experiment4,Bachelors,FALSE,hourly,916.7959032,NorthWest,personal,25plus,Male,110,strategy_switch
4983b516-3bd7-11e9-a60b-e4434b0071f4,26_35,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,daily,13595.49162,SouthEast,personal,23_25,Male,163,strategy_switch
53643baa-3c59-11e9-ae7a-e4434b0071f4,36_45,expert,1_to_3,desktop,Experiment4,Associates,FALSE,daily,7228.706434,SouthEast,personal,23_25,Male,103,strategy_switch
5375ee82-36bd-11e9-9269-e4434b0071f4,36_45,intermediate,5_to_8,desktop,Experiment4,HighSchool,TRUE,hourly,540.2106006,SouthEast,personal,25plus,Female,209,strategy_switch
53a682e0-3c3a-11e9-abe1-e4434b0071f4,26_35,beginner,3_to_5,laptop,Experiment4,Bachelors,TRUE,daily,13732.89203,SouthEast,public,17_21,Male,295,strategy_switch
61e2cee0-36c2-11e9-a863-e4434b0071f4,26_35,beginner,5_to_8,desktop,Experiment4,Bachelors,FALSE,hourly,5351.172883,NorthWest,personal,17_21,Female,359,strategy_switch
6e7f67c8-3c6f-11e9-a0b1-e4434b0071f4,18_25,intermediate,5_to_8,desktop,Experiment4,HighSchool,TRUE,hourly,3251.619935,NorthWest,personal,23_25,Female,88,strategy_switch
7052f7ca-3c3f-11e9-8cec-e4434b0071f4,26_35,intermediate,1_to_3,desktop,Experiment4,Masters,FALSE,hourly,2171.137592,SouthEast,personal,10_12,Male,742,strategy_switch
7627b140-3b7c-11e9-99a0-e4434b0071f4,26_35,beginner,1_to_3,desktop,Experiment4,Bachelors,TRUE,daily,198.2534596,NorthWest,personal,13_15,Male,420,strategy_switch
7781148a-3b8d-11e9-b4e6-e4434b0071f4,26_35,beginner,8_above,laptop,Experiment4,Bachelors,FALSE,daily,2325.367164,SouthEast,,13_15,Male,478,strategy_switch
7afba174-3ab2-11e9-be30-e4434b0071f4,18_25,expert,3_to_5,desktop,Experiment4,Bachelors,TRUE,hourly,4857.191631,NorthWest,personal,23_25,Male,139,strategy_switch
a8b4b8ee-3c38-11e9-b66e-e4434b0071f4,56plus,intermediate,5_to_8,laptop,Experiment4,HighSchool,TRUE,hourly,12046.24813,SouthEast,personal,13_15,Male,124,strategy_switch
bca15fc4-3c6f-11e9-bb6d-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,FALSE,daily,4628.197988,SouthEast,personal,17_21,Female,572,strategy_switch
d7e54e44-3c42-11e9-b51a-e4434b0071f4,26_35,novice,8_above,desktop,Experiment4,HighSchool,FALSE,hourly,4447.592444,SouthEast,personal,25plus,Male,246,strategy_switch
d91eeb90-339f-11e9-887b-e4434b0071f4,26_35,beginner,3_to_5,desktop,Experiment4,Associates,FALSE,daily,9023.755321,NorthWest,personal,13_15,Male,180,strategy_switch
dba92b10-3c5e-11e9-bd9c-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,HighSchool,FALSE,daily,13303.99375,NorthWest,personal,17_21,Female,102,strategy_switch
de47f2c4-3c3c-11e9-9159-e4434b0071f4,46_55,intermediate,8_above,laptop,Experiment4,Bachelors,TRUE,daily,4635.76936,NorthWest,personal,13_15,Female,342,strategy_switch
e71c8356-3c6e-11e9-bcb4-e4434b0071f4,56plus,intermediate,5_to_8,desktop,Experiment4,Associates,FALSE,hourly,5352.301645,NorthWest,public,17_21,Male,80,strategy_switch
ea106982-3c65-11e9-9e48-e4434b0071f4,36_45,intermediate,5_to_8,laptop,Experiment4,Associates,TRUE,daily,11539.22997,NorthWest,personal,23_25,Male,262,strategy_switch
f6e78c42-3c62-11e9-9bc9-e4434b0071f4,26_35,expert,5_to_8,laptop,Experiment4,HighSchool,FALSE,hourly,10989.38199,SouthEast,personal,13_15,Female,230,strategy_switch
f8023464-3bbe-11e9-a4a7-e4434b0071f4,18_25,intermediate,1_to_3,laptop,Experiment4,Bachelors,FALSE,daily,7502.518299,SouthEast,personal,17_21,Male,197,strategy_switch
fe9e6cb4-3abc-11e9-a20a-e4434b0071f4,26_35,beginner,3_to_5,desktop,Experiment4,Bachelors,TRUE,monthly,4491.290727,SouthEast,personal,13_15,Female,763,strategy_switch
102d0f1e-3c5a-11e9-aded-e4434b0071f4,18_25,intermediate,8_above,laptop,Experiment4,HighSchool,TRUE,hourly,3448.350696,SouthEast,personal,17_21,Female,65,structured_search
13837d1c-383e-11e9-847c-e4434b0071f4,26_35,intermediate,3_to_5,laptop,Experiment4,Bachelors,TRUE,hourly,1941.012626,SouthEast,personal,13_15,Female,18,structured_search
16b1441a-3c62-11e9-94e6-e4434b0071f4,36_45,expert,8_above,laptop,Experiment4,HighSchool,TRUE,hourly,5940.901729,SouthEast,personal,13_15,Male,46,structured_search
1b64a384-3abf-11e9-97e7-e4434b0071f4,36_45,intermediate,1_to_3,laptop,Experiment4,Bachelors,TRUE,daily,3308.759511,NorthWest,personal,13_15,Male,55,structured_search
1c01aa30-3c3b-11e9-9a38-e4434b0071f4,26_35,beginner,,desktop,Experiment4,Bachelors,FALSE,daily,9307.248043,SouthEast,public,23_25,Male,417,structured_search
2998d186-3ab1-11e9-9c6f-e4434b0071f4,36_45,expert,5_to_8,desktop,Experiment4,Bachelors,FALSE,hourly,3756.021296,SouthEast,personal,23_25,Male,171,structured_search
5ff5362e-3c38-11e9-8335-e4434b0071f4,26_35,beginner,5_to_8,laptop,Experiment4,Bachelors,FALSE,hourly,5695.576714,SouthEast,public,13_15,Female,93,structured_search
6d745742-36c7-11e9-847c-e4434b0071f4,46_55,expert,8_above,desktop,Experiment4,HighSchool,FALSE,hourly,12786.18913,NorthWest,personal,25plus,Male,42,structured_search
6feac49c-3c59-11e9-bfce-e4434b0071f4,36_45,expert,5_to_8,desktop,Experiment4,Bachelors,FALSE,hourly,10189.7765,SouthEast,personal,13_15,Female,250,structured_search
70e48e74-3c5d-11e9-9e20-e4434b0071f4,18_25,expert,5_to_8,laptop,Experiment4,,TRUE,hourly,10990.04518,SouthEast,personal,13_15,Male,250,structured_search
79386e3a-3c5b-11e9-bf18-e4434b0071f4,26_35,,3_to_5,desktop,Experiment4,Bachelors,TRUE,hourly,6363.111765,NorthWest,personal,10_12,Female,450,structured_search
8c0f3226-3c3a-11e9-8597-e4434b0071f4,26_35,expert,5_to_8,laptop,Experiment4,Bachelors,FALSE,daily,9674.809659,SouthEast,,13_15,Female,239,structured_search
93ae09a6-3b79-11e9-86ed-e4434b0071f4,46_55,expert,8_above,desktop,Experiment4,Bachelors,FALSE,hourly,3834.633729,SouthEast,personal,17_21,Male,90,structured_search
97f400cc-3c84-11e9-93c6-e4434b0071f4,26_35,intermediate,5_to_8,laptop,Experiment4,Bachelors,FALSE,hourly,12036.446,SouthEast,personal,13_15,Female,125,structured_search
b2766d8a-383e-11e9-b18a-e4434b0071f4,36_45,expert,8_above,desktop,Experiment4,Bachelors,TRUE,hourly,13398.0146,SouthEast,personal,25plus,Male,89,structured_search
c8d3416c-3ab8-11e9-92d0-e4434b0071f4,36_45,expert,8_above,desktop,Experiment4,Bachelors,FALSE,hourly,1622.473421,SouthEast,personal,23_25,Female,108,structured_search
c955a722-36be-11e9-9269-e4434b0071f4,36_45,intermediate,8_above,laptop,Experiment4,Bachelors,FALSE,daily,8500.140045,SouthEast,personal,17_21,Female,95,structured_search
d9d160a8-3c6f-11e9-b1c8-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment4,HighSchool,FALSE,hourly,8674.265008,SouthEast,personal,13_15,Male,175,structured_search
f4bd9596-3c4a-11e9-ac8f-e4434b0071f4,56plus,intermediate,3_to_5,desktop,Experiment4,HighSchool,TRUE,hourly,5247.132323,NorthWest,personal,23_25,Female,73,structured_search
f5437b5a-3ac6-11e9-a5d6-e4434b0071f4,56plus,intermediate,3_to_5,desktop,Experiment4,HighSchool,TRUE,daily,3484.628763,SouthEast,personal,17_21,Male,82,structured_search
fdda2820-3c71-11e9-9b6e-e4434b0071f4,26_35,expert,5_to_8,laptop,Experiment4,Bachelors,FALSE,hourly,9007.362165,NorthWest,personal,13_15,Male,90,structured_search